Classical;Basal;Normal_Stroma;Activated_Stroma
FAM83E;IDUA;FAM129A;FLJ36031
FAM83F;IFI44;FAM13C1;FLJ39632
FAM83H;IFNE;FAM162B;FLT1
FAM84A;IFNGR2;FAM163A;FLVCR2
FANCF;IFRG15;FAM164A;FMNL3
FAR2;IGBP1;FAM171B;FMOD
FARP2;IGF2BP3;FAM175A;FN1
FAT1;IKZF2;FAM181B;FNDC1
FBLIM1;IL18;FAM184A;FNIP2
FBXL6;IL1A;FAM19A2;FOLR2
FBXO34;IL1F5;FAM46B;FOSB
FBXW10;IL20RB;FAM62B;FOXF1
FCGBP;IL23A;FAM69B;FOXF2
FCGRT;IL28B;FAM70A;FPR1
FDFT1;INADL;FAM76A;FPR3
FGD5;INPP4B;FAT3;FREQ
FGF20;INSIG2;FAT4;FRMD6
FHDC1;INSL4;FBLN1;FSTL1
FHL2;INTU;FBLN5;FTL
FKBP1B;IRF2BP2;FBXL3;FUT11
FLJ20674;IRF6;FBXL5;FZD1
FLJ22662;IRS1;FBXL7;FZD10
FLJ23867;ITGA2;FBXO8;FZD2
FLJ40504;ITGA3;FERMT2;FZD7
FLJ42393;ITGA6;FEZ1;FZD8
FLJ44048;ITGB4;FEZF2;GADD45B
FLJ45803;ITGB6;FGF10;GALNS
FMN1;ITGB8;FGF2;GALNT13
FMO5;ITPR3;FGF7;GAS1
FNBP1L;IVL;FGF9;GAS7
FOS;JAG1;FGFBP2;GBGT1
FOXA1;JARID1B;FGFR1;GBP1
FOXA3;JMJD1A;FHL5;GDF6
FRAT1;KCMF1;FIBIN;GEM
FRAT2;KCNMB3;FIGF;GFPT2
FRMD4B;KCNN4;FIGN;GGT5
FRMD7;KCTD11;FILIP1;GJA1
FUK;KIAA0649;FILIP1L;GJB2
FUT2;KIAA0831;FLJ12993;GLB1L
FUT3;KIAA0907;FLJ30851;GLI1
FUT4;KIAA1522;FLJ41603;GLI2
FUT5;KIAA1609;FLJ42709;GLI3
FXYD3;KIAA1772;FLJ44087;GLIPR1
FZD5;KLF7;FLNA;GLIPR2
G30;KLHDC7B;FMO2;GLT25D1
GABRP;KLK13;FOXN3;GLT8D1
GAK;KLK5;FOXO1;GLT8D2
GAL3ST1;KLK6;FOXO3;GLT8D4
GALC;KLK8;FOXP2;GM2A
GALE;KLKBL4;FREM1;GNAI2
GALM;KLRC2;FRY;GNB4
GALNT12;KRAS;FST;GNPTAB
GALNT3;KREMEN2;FXYD1;GPC1
GALNT4;KRT13;FYCO1;GPC6
GALNT5;KRT14;FZD3;GPNMB
GALNT6;KRT15;FZD4;GPR1
GALNT7;KRT16;GAB1;GPR124
GALNT8;KRT17;GABRA2;GPR137B
GATA6;KRT17P3;GAL;GPR34
GBP2;KRT18P19;GALNTL2;GPR68
GBP3;KRT18P28;GARNL1;GPR84
GCNT1;KRT18P33;GARNL3;GPX1
GCNT3;KRT18P34;GCOM1;GPX7
GDA;KRT18P40;GDF10;GPX8
GDPD2;KRT18P46;GEFT;GREM1
GDPD3;KRT19;GFRA1;GRN
GFPT1;KRT19P2;GGTA1;GRP
GIP;KRT23;GJA4;GSC
GIPC2;KRT33A;GNAI1;HAPLN1
GIYD1;KRT4;GNG11;HAS1
GJB1;KRT5;GNL1;HAS2
GKN1;KRT6A;GPC3;HAVCR2
GLB1L2;KRT6B;GPIHBP1;HDC
GLT25D2;KRT6C;GPM6B;HEG1
GMDS;KRT7;GPR133;HEYL
GOLGB1;KRT75;GPR146;HGSNAT
GOLM1;KRT77;GPR155;HHIP
GOLPH3L;KRT78;GPR4;HIC1
GPA33;KRT79;GPX3;HIF1A
GPR128;KRT80;GRID1;HIST1H3I
GPR160;KRTAP9-8;GRIK2;HIVEP1
GPR35;KRTDAP;GRK5;HLA-DMA
GPRC5C;LAMA3;GRRP1;HLA-DPA1
GPX2;LAMB3;GSN;HLA-DPB1
GRAMD1B;LAMC2;GSTM2;HLA-DPB2
GRK7;LANCL3;GTDC1;HLA-DQA1
GRTP1;LCN2;GTF2A1L;HLA-DQA2
GSDMB;LEMD1;GUCY1A2;HLA-DQB2
GSTM4;LEMD3;GUCY1A3;HLA-DRA
GSTP1;LETM2;GUCY1B3;HLA-DRB1
GUCA2A;LGALS7;HABP4;HLA-DRB3
GUCA2B;LGALS7B;HACE1;HLA-DRB4
GUCY1B2;LGALS8;HBEGF;HLA-DRB5
GUCY2C;LITAF;HCFC2;HLA-DRB6
H3F3A;LMTK2;HDGFRP3;HLX
HAVCR1;LOC100127972;HEATR5A;HMCN1
HDAC1;LOC100128519;HEY1;HMOX1
HDHD3;LOC100128626;HEY2;HOXB2
HECTD3;LOC100128868;HOXA2;HOXB4
HEPH;LOC100129253;HOXA4;HRH4
HES1;LOC100129572;HOXA5;HS3ST2
HHLA2;LOC100130171;HOXA7;HS3ST3A1
HISPPD2A;LOC100131496;HOXD1;HTRA1
HIST1H3A;LOC100131971;HOXD10;HTRA3
HIST1H3E;LOC100132831;HOXD8;HTRA4
HKDC1;LOC100133752;HRCT1;IBSP
